drug_1,drug_2,similarity
CGEN-856,DYNORPHIN-(1-11),0.7913
CGEN-856,DYNORPHIN A-(1-13),0.7913
MIANSERIN,MIANSERIN HYDROCHLORIDE,0.9697
NEUROPEPTIDE B-23,NEUROPEPTIDE W-30,1.0
NEUROPEPTIDE B-23,NEUROPEPTIDE Y-(3-36),1.0
NEUROPEPTIDE B-23,NEUROPEPTIDE W-23,1.0
NEUROPEPTIDE B-23,NEUROPEPTIDE K,1.0
NEUROPEPTIDE B-23,NEUROPEPTIDE HEAD ACTIVATOR,1.0
1DME,NEUROPEPTIDE FF,0.7889
1DME,[125I]NPFF,0.7889
1DME,Y-RFRP-3,0.7327
RFRP-3,NEUROPEPTIDE FF,0.8095
RFRP-3,[125I]NPFF,0.8095
RFRP-3,Y-RFRP-3,0.8043
ALMOREXANT,[3H]CP-1,0.7917
ALMOREXANT,CP-1,0.7917
DATP,"2',3'-DIDEOXYADENOSINE TRIPHOSPHATE",0.7333
MRS2782,URIDINE MONOPHOSPHATE,0.7917
MRS2782,URIDINE 5'-TRIPHOSPHATE,0.7037
MRS2782,URIDINE-5'-DIPHOSPHATE,0.7308
PLATELET ACTIVATING FACTOR,ENANTIO PAF C-16,1.0
PLATELET ACTIVATING FACTOR,2-O-METHYL-PAF C-18,0.8
PLATELET ACTIVATING FACTOR,(R)-EDELFOSINE,0.7609
PLATELET ACTIVATING FACTOR,EDELFOSINE,0.7609
VALSPODAR,CYCLOSPORIN H,0.716
SD-91,SD-36,0.8943
HISTIDINE,[14C]HISTIDINE,1.0
U46609,U46619,0.7636
AM237,PICO145,0.7971
AM237,HC-070,0.7101
ML9,HYDROXYFASUDIL,0.7045
MRS1132,MRS1088,0.7143
LOMUSTINE,SEMUSTINE,0.75
MRS1754,XCC,0.7049
PREXASERTIB,LY-2606368,1.0
COMPOUND 17C [PMID: 25497965],COMPOUND 9F [PMID: 24412111],0.7867
CGP 12177,[3H](-)CGP 12177,1.0
Z-IETD-FMK,Z-DEVD-FMK,0.7727
Z-IETD-FMK,Z-VEID-FMK,0.8906
REGRELOR,REGRELOR DISODIUM,0.8816
TELOTRISTAT ETHYL,TELOTRISTAT ETIPRATE,0.8148
TELOTRISTAT ETHYL,TELOTRISTAT,0.8714
SEMULOPARIN SODIUM,ARDEPARIN SODIUM,1.0
SEMULOPARIN SODIUM,SEMULOPARIN,1.0
SEMULOPARIN SODIUM,BEMIPARIN,1.0
SEMULOPARIN SODIUM,NADROPARIN CALCIUM,1.0
SEMULOPARIN SODIUM,CERTOPARIN SODIUM,1.0
SEMULOPARIN SODIUM,BEMIPARIN SODIUM,1.0
TRYPTOPHAN,DL-TRYPTOPHAN,1.0
TRYPTOPHAN,D-TRYPTOPHAN,1.0
CCK-39,NEUROPEPTIDE-Y,0.7178
CCK-39,GLUCAGON (RDNA),0.7063
CCK-39,NEUROPEPTIDE Y,0.7178
CCK-39,GLUCAGON HYDROCHLORIDE,0.7019
CCK-39,APELIN,0.7186
CCK-39,CORTICOTROPIN,0.7963
CCK-39,TATM2NX,0.7421
CCK-39,ALBIGLUTIDE,0.7063
CCK-39,AVEXITIDE,0.7683
CCK-39,EXENDIN-3,0.8024
CCK-39,LIXISENATIDE,0.733
CCK-39,GLP-2 ANALOGUE 10,0.7
CCK-39,EPIDERMAL GROWTH FACTOR,0.75
CCK-39,KISSPEPTIN-54,0.7706
CCK-39,UROCORTIN 3,0.7125
CCK-39,SLOTOXIN,0.7289
CCK-39,SERACTIDE ACETATE,0.711
CCK-39,DYNORPHIN A,0.7044
CCK-39,GASTRIN-RELEASING PEPTIDE,0.747
CCK-39,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7186
CCK-39,NPY,0.7178
[3H]DEVAZEPIDE,DEVAZEPIDE,1.0
GASTRIN-34,TIP39-(7-39) (HUMAN/BOVINE),0.7115
GASTRIN-34,HUMAN GIP(5-30)NH2,0.7105
GASTRIN-34,[125I]NPW-23 (HUMAN),0.7389
GASTRIN-34,COSYNTROPIN,0.7338
GASTRIN-34,[125I]ACTH-(1-24),0.7179
GASTRIN-34,APELIN,0.7125
GASTRIN-34,CORTICOTROPIN,0.7484
GASTRIN-34,TATM2NX,0.7255
GASTRIN-34,GALP(3-32) (HUMAN),0.7722
GASTRIN-34,PTHRP-(1-20)/TIP-(23-39) (HUMAN),0.7099
GASTRIN-34,M871,0.7255
GASTRIN-34,DESULFATED GASTRIN-34,0.8675
GASTRIN-34,BIROPEPIMUT-S,0.732
GASTRIN-34,AVEXITIDE,0.7205
GASTRIN-34,GALANIN(2-29) (RAT/MOUSE),0.7233
GASTRIN-34,LIXISENATIDE,0.759
GASTRIN-34,GALP(1-32) (HUMAN),0.7736
GASTRIN-34,HUMAN GIP(3-30)NH2,0.732
GASTRIN-34,BULEVIRTIDE,0.7089
GASTRIN-34,APELIN-36,0.7885
GASTRIN-34,SERACTIDE ACETATE,0.8258
GASTRIN-34,[125I][TYR26]GALANIN (HUMAN),0.717
GASTRIN-34,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7125
GASTRIN-34,[125I]EXENDIN-(9-39),0.7329
GASTRIN-34,GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.732
GASTRIN-34,GALANIN(1-19) (HUMAN),0.7
DIPHENIDOL HYDROCHLORIDE,PRIDINOL,0.7879
GLPG1837,GLPG-1837,1.0
PTBE,TOMELUKAST,0.7018
PROTON PUMP INHIBITOR,H+,1.0
ERGOCALCIFEROL,DIHYDROTACHYSTEROL,0.7069
ERGOCALCIFEROL,DOXERCALCIFEROL,0.7627
INCB086550,INCB-086550,1.0
[3H]TIOTROPIUM,TIOTROPIUM BROMIDE,0.9767
[3H]TIOTROPIUM,TIOTROPIUM,1.0
AMYLIN,DAVALINTIDE,0.8313
AMYLIN,ADRENOMEDULLIN 2/INTERMEDIN,0.712
AMYLIN,ADRENOMEDULLIN,0.712
AC187,[125I]PYY (PIG),0.7571
AC187,[125I]PYY-(3-36) (HUMAN),0.7343
AC187,PEPTIDE YY HUMAN (3-36),0.8222
AC187,KAI-1678,0.7874
AC187,CT-(8-32) (SALMON),0.7704
AC187,[125I]CT (SALMON),0.7482
AC187,KBP-088,0.7801
ERYTHROMYCIN ACISTRATE,ERYTHROMYCIN ESTOLATE,0.7596
VB-201,(R)-EDELFOSINE,0.7
VB-201,EDELFOSINE,0.7
CHLORPHENIRAMINE MALEATE,PHENIRAMINE MALEATE,0.8409
CHLORPHENIRAMINE MALEATE,DEXBROMPHENIRAMINE MALEATE,0.7917
CHLORPHENIRAMINE MALEATE,BROMPHENIRAMINE MALEATE,0.7917
CHLORPHENIRAMINE MALEATE,DEXCHLORPHENIRAMINE MALEATE,1.0
1G244,TOMINOSTAT,0.7018
1G244,COMPOUND 18 [PMID: 15664838],1.0
PGD2,PROSTAGLANDIN D2,1.0
ANISOCOUMARIN H,AURAPTENE,0.7059
NORADRENALINE,L-NOREPINEPHRINE,1.0
NORADRENALINE,NOREPINEPHRINE BITARTRATE,0.7419
ENASIDENIB,ENASIDENIB MESYLATE,0.9057
QAV680,FEVIPIPRANT,0.7069
QAV680,QAV-680,1.0
ISOPROPAMIDE IODIDE,ISOPROPAMIDE,0.9706
TIP39-(7-39) (HUMAN/BOVINE),[125I]NPW-23 (HUMAN),0.7237
TIP39-(7-39) (HUMAN/BOVINE),[125I]ACTH-(1-24),0.7724
TIP39-(7-39) (HUMAN/BOVINE),GALP(3-32) (HUMAN),0.7134
TIP39-(7-39) (HUMAN/BOVINE),PTHRP-(1-20)/TIP-(23-39) (HUMAN),0.8345
TIP39-(7-39) (HUMAN/BOVINE),TIP39-(3-39) (HUMAN/BOVINE),0.9538
TIP39-(7-39) (HUMAN/BOVINE),GALANIN(2-29) (RAT/MOUSE),0.7078
TIP39-(7-39) (HUMAN/BOVINE),GALP(1-32) (HUMAN),0.7152
TIP39-(7-39) (HUMAN/BOVINE),"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7448
TIP39-(7-39) (HUMAN/BOVINE),GASTRIN RELEASING PEPTIDE(14-27) (HUMAN),0.7279
TIP39-(7-39) (HUMAN/BOVINE),CGEN-857,0.7465
TIP39-(7-39) (HUMAN/BOVINE),[125I]PRRP31,0.7037
TIP39-(7-39) (HUMAN/BOVINE),TIP39-(9-39) (HUMAN/BOVINE),0.9538
TIP39-(7-39) (HUMAN/BOVINE),TIP39-(7-39) (MOUSE),0.8538
ILOPROST,[3H]ILOPROST,1.0
TAPRENEPAG,TAPRENEPAG ISOPROPYL,0.791
TAPRENEPAG,EVATANEPAG,0.7188
OXENDOLONE,ORG2058,0.7407
SYN-BRP-LPA,BRP-LPA,1.0
SYN-BRP-LPA,ANTI-BRP-LPA,1.0
SYN-BRP-LPA,[1-BROMO-(3S)-HYDROX-4-(PALMITOYLOXY)BUTYL]PHOSPHATE,0.7857
TAS-119,VIC 1911,1.0
NORENDOXIFEN,AFIMOXIFENE,0.7273
PRUCALOPRIDE,PRUCALOPRIDE SUCCINATE,0.9167
UNC0638,UNC0642,0.7027
GW795486X,COMPOUND 27 [PMID: 24900635],0.7586
GW795486X,GW795493X,0.8491
A-123189,A-119637,0.8413
FIBOFLAPON SODIUM,FIBOFLAPON,0.8701
TRICIRIBINE,TRICIRIBINE PHOSPHATE,0.7288
TRANS-3-ACPBPA,CIS-3-ACPBPA,1.0
ADENOSINE A2B RECEPTOR ANTAGONIST PBF-1129,VIDARABINE,1.0
5-OXO-ODE,5-OXO-ETE,0.8056
5-OXO-ODE,5-OXO-C20:3,0.8333
HUMAN GIP(5-30)NH2,DULAGLUTIDE,0.803
HUMAN GIP(5-30)NH2,TERIPARATIDE,0.812
HUMAN GIP(5-30)NH2,[125I]ET-2 (HUMAN),0.7023
HUMAN GIP(5-30)NH2,GLUCAGON (RDNA),0.7163
HUMAN GIP(5-30)NH2,GLUCAGON HYDROCHLORIDE,0.7113
HUMAN GIP(5-30)NH2,TERIPARATIDE ACETATE,0.812
HUMAN GIP(5-30)NH2,PTHRP-(1-20)/TIP-(23-39) (HUMAN),0.75
HUMAN GIP(5-30)NH2,"[125I][ALA1,3,11,15]ET-1",0.824
HUMAN GIP(5-30)NH2,"[ALA11,22,28]VIP",0.7206
HUMAN GIP(5-30)NH2,PTHRP-(1-21)/PTH-(22-34) (HUMAN),0.7519
HUMAN GIP(5-30)NH2,GLUCAGON-LIKE PEPTIDE 2-(3-33),0.7388
HUMAN GIP(5-30)NH2,"[125I]ET-1 (HUMAN, MOUSE, RAT)",0.7557
HUMAN GIP(5-30)NH2,BQ 3020,0.7717
HUMAN GIP(5-30)NH2,GLP-2 ANALOGUE 10,0.7214
HUMAN GIP(5-30)NH2,HUMAN GIP(3-30)NH2,0.9297
HUMAN GIP(5-30)NH2,[125I]GLP-1-(7-36)-AMIDE,0.7626
HUMAN GIP(5-30)NH2,"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7956
HUMAN GIP(5-30)NH2,DISITERTIDE,0.7107
HUMAN GIP(5-30)NH2,GLUCAGON-LIKE PEPTIDE 1-(7-37),0.7681
HUMAN GIP(5-30)NH2,APRAGLUTIDE,0.7143
HUMAN GIP(5-30)NH2,GLUCAGON-LIKE PEPTIDE 2,0.8134
HUMAN GIP(5-30)NH2,[125I]GLP-1-(7-37) (HUMAN),0.7681
ETHISTERONE,METHYLTESTOSTERONE,0.7609
"INSULIN ASPART PROTAMINE, HUMAN","INSULIN GLULISINE, HUMAN",1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN TREGOPIL,0.9265
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP EXTENDED BEEF,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP PROMPT BEEF,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP PURIFIED BEEF/PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN",DESIRUDIN,0.704
"INSULIN ASPART PROTAMINE, HUMAN","INSULIN [INJECTION], BIPHASIC",1.0
"INSULIN ASPART PROTAMINE, HUMAN","INSULIN, ISOPHANE",0.8744
"INSULIN ASPART PROTAMINE, HUMAN","INSULIN HUMAN, ISOPHANE",1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP ISOPHANE BEEF/PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP PURIFIED BEEF,1.0
"INSULIN ASPART PROTAMINE, HUMAN",PEGMUSIRUDIN,0.7061
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN DETEMIR,0.9212
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN PURIFIED BEEF,0.8502
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN GLARGINE-YFGN,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP PROTAMINE ZINC BEEF/PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN PEGLISPRO,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SENSITIZER S-707106,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN DEGLUDEC,0.935
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN PURIFIED PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP PURIFIED PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
"INSULIN ASPART PROTAMINE, HUMAN","INSULIN ZINC, EXTENDED",1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ASPART PROTAMINE RECOMBINANT,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN LISPRO-AABC,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
"INSULIN ASPART PROTAMINE, HUMAN",INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
DARGLITAZONE,AD-5061,0.75
852A,CPG-52852,1.0
DL-TRYPTOPHAN,D-TRYPTOPHAN,1.0
CISAPRIDE,REL-CISAPRIDE,1.0
D-AP5,L-AP4,0.76
D-AP5,D-AP4,0.76
D-AP5,AP-7,0.8462
GSK2606414,RIPK1 INHIBITOR 22B,0.7013
DIBUTYLPHTHALATE,BUTYL 2-AMINOBENZOATE,0.8
NEUROPEPTIDE-Y,HELODERMIN,0.7552
NEUROPEPTIDE-Y,[125I]PYY (PIG),0.7181
NEUROPEPTIDE-Y,NEUROPEPTIDE Y,1.0
NEUROPEPTIDE-Y,AUNP-12,0.705
NEUROPEPTIDE-Y,[PRO34]NPY,0.7197
NEUROPEPTIDE-Y,PEPTIDE YY HUMAN (3-36),0.7778
NEUROPEPTIDE-Y,NPY-(3-36) (PIG),0.7152
NEUROPEPTIDE-Y,KISSPEPTIN-54,0.7756
NEUROPEPTIDE-Y,UROCORTIN 3,0.7241
NEUROPEPTIDE-Y,OBINEPITIDE,0.7133
NEUROPEPTIDE-Y,"[125I]NPY (HUMAN, MOUSE, RAT)",0.7616
NEUROPEPTIDE-Y,NPY,1.0
PALMIDROL,"N-DOCOSATETRA-7,10,13,16-ENOYLETHANOLAMINE",0.75
PALMIDROL,SEA,1.0
UDP-GALACTOSE,UDP-GLUCURONIC ACID,0.7937
UDP-GALACTOSE,URIDINE 5'-TRIPHOSPHATE,0.7288
UDP-GALACTOSE,URIDINE-5'-DIPHOSPHATE,0.7241
UDP-GALACTOSE,UDP-GLUCOSE,1.0
UDP-GALACTOSE,UDP N-ACETYL-GLUCOSAMINE,0.7761
MIPOMERSEN,NUSINERSEN,0.7043
MIPOMERSEN,VOLANESORSEN,0.7542
MIPOMERSEN,TOFERSEN,0.7008
MIPOMERSEN,LY2181308,0.7563
MIPOMERSEN,CUSTIRSEN,0.712
PREDNISOLONE ACETATE,LOTEPREDNOL,0.7541
PREDNISOLONE ACETATE,HYDROCORTISONE ACETATE,0.7143
PREDNISOLONE ACETATE,PREDNISOLONE SODIUM PHOSPHATE,0.7619
PREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,0.7188
PREDNISOLONE ACETATE,PREDNISOLONE TEBUTATE,0.8065
PREDNISOLONE ACETATE,PREDNISOLONE HEMISUCCINATE,0.7937
PREDNISOLONE ACETATE,PREDNISOLONE SODIUM SUCCINATE,0.7692
DYCLONINE,DYCLONINE HYDROCHLORIDE,0.9737
BIPERIDEN,BIPERIDEN LACTATE,0.8163
GANETESPIB,DEFIBROTIDE,0.7458
TRIPROLIDINE HYDROCHLORIDE,TRIPROLIDINE,0.9744
DIPHENHYDRAMINE CITRATE,ORPHENADRINE CITRATE,0.8043
DAPIPRAZOLE HYDROCHLORIDE,DAPIPRAZOLE,0.9773
DIVALPROEX SODIUM,SODIUM VALPROATE,0.8182
OXYCODONE TEREPHTHALATE,OXYMORPHONE,0.7167
FLUPREDNISOLONE,PARAMETHASONE,0.7049
DEXTROTHYROXINE,[125I]THYROXINE,1.0
DEXTROTHYROXINE,RT3,0.7045
LEVALLORPHAN TARTRATE,LEVALLORPHAN,0.8364
LEVALLORPHAN TARTRATE,LEVORPHANOL TARTRATE,0.7333
LUTEOLIN,DIOSMETIN,0.7143
LUTEOLIN,CHRYSIN,0.7105
GATIFLOXACIN ANHYDROUS,MOXIFLOXACIN,0.7231
SIMEPREVIR SODIUM,SIMEPREVIR,0.8558
BMS-794833,METATINIB,1.0
AC-430,AC430,1.0
AZD-8055,AZD8055,1.0
AZD-8055,MTOR KINASE INHIBITOR AZD8055,1.0
LY2623091,LY-2623091,1.0
IBUTAMOREN MESYLATE,[35S]IBUTAMOREN,0.9844
OMIDENEPAG,OMIDENEPAG ISOPROPYL,0.7941
IBREXAFUNGERP CITRATE,IBREXAFUNGERP,0.9175
VILAPRISAN,LONAPRISAN,0.7794
RODATRISTAT ETHYL,RODATRISTAT,0.8553
HK2P01 DERIVATIVE KLK2 INHIBITOR,ALBUTENSIN A,0.764
PHILANTHOTOXIN 343,PHTX-11,0.8511
SPIPERONE,SPIPERONE HYDROCHLORIDE,0.9796
HERBIMYCIN,HERBIMYCIN A,1.0
LOFEPRAMINE,LOFEPRAMINE HYDROCHLORIDE,0.9773
ROXITHROMYCIN,CLARITHROMYCIN,0.7097
ROXITHROMYCIN,ME36,0.7158
SEROTONIN HYDROCHLORIDE,[3H]5-HT,0.9667
SEROTONIN HYDROCHLORIDE,5-HYDROXYTRYPTAMINE,0.9667
SEROTONIN HYDROCHLORIDE,SEROTONIN,0.9667
COMPOUND 66 [PMID: 36126387],COMPOUND 65 [PMID: 36126387],0.8154
BENZANTHRONE,FLUORANTHENE,0.7143
[3H]PENTAZOCINE,PENTAZOCINE LACTATE,0.8269
[3H]PENTAZOCINE,PENTAZOCINE HYDROCHLORIDE,0.9773
[3H]PENTAZOCINE,(-)-CYCLAZOCINE,0.7
[3H]PENTAZOCINE,(+)-SKF 10.047,0.7917
SILYBIN B,SILYBIN,1.0
SILYBIN B,ISOSILYBIN A,1.0
N6-BENZYLADENOSINE,(R)-PIA,0.7119
N6-BENZYLADENOSINE,N6-PHENYLADENOSINE,0.7547
N6-BENZYLADENOSINE,METRIFUDIL,0.7544
N6-BENZYLADENOSINE,KINETIN RIBOSIDE,0.75
N6-BENZYLADENOSINE,I-ABA,0.7167
CITALOPRAM HYDROBROMIDE,DA-8031,0.7636
ESTRADIOL PROPIONATE,ESTRADIOL DIPROPIONATE,0.8036
ESTRADIOL PROPIONATE,ESTRADIOL ENANTHATE,0.7931
CEFOTAXIME SODIUM,CEFEPIME,0.7532
GERANIOL,FARNESOL,0.95
SYRINGARESINOL,PINORESINOL,0.7059
MALTOTRIOSE,MALTOSE,1.0
MALTOTRIOSE,BETA-GLUCAN,1.0
DEUTETRABENAZINE,DUTETRABENAZINE,1.0
NUSINERSEN,VOLANESORSEN,0.8922
NUSINERSEN,TOFERSEN,0.8198
NUSINERSEN,LY2181308,0.8056
NUSINERSEN,CUSTIRSEN,0.8349
PITOLISANT,PITOLISANT HYDROCHLORIDE,0.9706
XL281,BMS-908662,1.0
XL281,XL-281,1.0
INDOLE-3-CARBINOL,ARUNDINE,0.72
MOBOCERTINIB,MOBOCERTINIB SUCCINATE,0.9518
MOBOCERTINIB,OSIMERTINIB MESYLATE,0.7079
MOTILIN-(1-13) (HUMAN),MOTILIN-(1-11) (HUMAN),0.8468
MOTILIN-(1-13) (HUMAN),MOTILIN,0.8175
MOTILIN-(1-13) (HUMAN),MOTILIN-(1-12) (HUMAN),0.9369
MOTILIN-(1-13) (HUMAN),MOTILIN-(2-22) (HUMAN),0.8455
MOTILIN-(1-13) (HUMAN),MOTILIN-(1-19) (HUMAN),0.9244
MOTILIN-(1-13) (HUMAN),DYNORPHIN-(1-11),0.7049
MOTILIN-(1-13) (HUMAN),DYNORPHIN A-(1-13),0.7049
ELAGOLIX,ELAGOLIX SODIUM,0.8831
MOTILIN-(1-11) (HUMAN),MOTILIN,0.7966
MOTILIN-(1-11) (HUMAN),MOTILIN-(1-12) (HUMAN),0.9038
MOTILIN-(1-11) (HUMAN),MOTILIN-(2-22) (HUMAN),0.7073
MOTILIN-(1-11) (HUMAN),MOTILIN-(1-19) (HUMAN),0.7815
MOTILIN-(1-11) (HUMAN),A(9-26)INSL3,0.7196
DULAGLUTIDE,TERIPARATIDE,0.705
DULAGLUTIDE,[125I]ET-2 (HUMAN),0.7109
DULAGLUTIDE,COTADUTIDE,0.7941
DULAGLUTIDE,TASPOGLUTIDE,0.7103
DULAGLUTIDE,ALBIGLUTIDE,0.7761
DULAGLUTIDE,TERIPARATIDE ACETATE,0.705
DULAGLUTIDE,"[125I][ALA1,3,11,15]ET-1",0.7231
DULAGLUTIDE,PTHRP-(1-21)/PTH-(22-34) (HUMAN),0.7218
DULAGLUTIDE,DASIGLUCAGON HYDROCHLORIDE,0.7664
DULAGLUTIDE,GLEPAGLUTIDE,0.7969
DULAGLUTIDE,HUMAN GIP(3-30)NH2,0.8409
DULAGLUTIDE,PTHRP-(1-34) (HUMAN),0.7154
DULAGLUTIDE,[125I]GLP-1-(7-36)-AMIDE,0.8682
DULAGLUTIDE,"[125I]GLUCAGON (HUMAN, MOUSE, RAT)",0.7536
DULAGLUTIDE,GLUCAGON-LIKE PEPTIDE 1-(7-37),0.9048
DULAGLUTIDE,PTHRP-(1-36),0.7099
DULAGLUTIDE,APRAGLUTIDE,0.8015
DULAGLUTIDE,GLUCAGON-LIKE PEPTIDE 2,0.7704
DULAGLUTIDE,[125I]BAY 55-9837,0.7099
DULAGLUTIDE,DASIGLUCAGON,0.7664
DULAGLUTIDE,[125I]GLP-1-(7-37) (HUMAN),0.9048
AZD8330,AZD-8330,1.0
NNC 11-1314,NNC 11-1585,0.8936
NNC 11-1314,NNC 11-1607,0.86
APRINOCARSEN,TRABEDERSEN,0.92
APRINOCARSEN,ALICAFORSEN,0.8252
APRINOCARSEN,EDIFOLIGIDE SODIUM,0.9457
APRINOCARSEN,COBITOLIMOD,0.9167
APRINOCARSEN,BEVASIRANIB,0.7455
APRINOCARSEN,COBITOLIMOD SODIUM,0.9167
APRINOCARSEN,MONGERSEN,0.9158
APRINOCARSEN,OBLIMERSEN,0.8173
APRINOCARSEN,AGATOLIMOD,0.7431
APRINOCARSEN,BAZLITORAN,0.7438
APRINOCARSEN,CUSTIRSEN,0.7478
APRINOCARSEN,AGATOLIMOD SODIUM,0.7857
APRINOCARSEN,BEVASIRANIB SODIUM,0.7232
UMECLIDINIUM BROMIDE,UMECLIDINIUM BROMIDE/VILANTEROL,0.9744
ELIGLUSTAT,ELIGLUSTAT TARTRATE,0.9123
TASIDOTIN,TASIDOTIN HYDROCHLORIDE,0.9811
"INSULIN GLULISINE, HUMAN",INSULIN TREGOPIL,0.9265
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP EXTENDED BEEF,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP PROMPT BEEF,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP PURIFIED BEEF/PORK,1.0
"INSULIN GLULISINE, HUMAN",DESIRUDIN,0.704
"INSULIN GLULISINE, HUMAN","INSULIN [INJECTION], BIPHASIC",1.0
"INSULIN GLULISINE, HUMAN","INSULIN, ISOPHANE",0.8744
"INSULIN GLULISINE, HUMAN","INSULIN HUMAN, ISOPHANE",1.0
"INSULIN GLULISINE, HUMAN",INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,1.0
"INSULIN GLULISINE, HUMAN",INSULIN SUSP ISOPHANE BEEF/PORK,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP PURIFIED BEEF,1.0
"INSULIN GLULISINE, HUMAN",PEGMUSIRUDIN,0.7061
"INSULIN GLULISINE, HUMAN",INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,1.0
"INSULIN GLULISINE, HUMAN",INSULIN DETEMIR,0.9212
"INSULIN GLULISINE, HUMAN",INSULIN PURIFIED BEEF,0.8502
"INSULIN GLULISINE, HUMAN",INSULIN GLARGINE-YFGN,1.0
"INSULIN GLULISINE, HUMAN",INSULIN SUSP PROTAMINE ZINC BEEF/PORK,1.0
"INSULIN GLULISINE, HUMAN",INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
"INSULIN GLULISINE, HUMAN",INSULIN PEGLISPRO,1.0
"INSULIN GLULISINE, HUMAN",INSULIN SENSITIZER S-707106,1.0
"INSULIN GLULISINE, HUMAN",INSULIN DEGLUDEC,0.935
"INSULIN GLULISINE, HUMAN",INSULIN PURIFIED PORK,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP PURIFIED PORK,1.0
"INSULIN GLULISINE, HUMAN",INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
"INSULIN GLULISINE, HUMAN","INSULIN ZINC, EXTENDED",1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ASPART PROTAMINE RECOMBINANT,1.0
"INSULIN GLULISINE, HUMAN",INSULIN LISPRO-AABC,1.0
"INSULIN GLULISINE, HUMAN",INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
"INSULIN GLULISINE, HUMAN",INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
S26284,CBOBNEA,0.7959
DIPRENORPHINE,ORP-101,0.7297
XL844,XL-844,1.0
BETAZOLE,BETAZOLE HYDROCHLORIDE,0.9545
PROFENAMINE,(S)-PROMETHAZINE,0.7353
